id,gene,protein_uniprot_id,modification_type,interval,function,effect,is_longevity_related,longevity_association,citations,article_url,created_at
1,NQO1,P15559,gene deletion,,Loss of NQO1 enzyme that stabilizes HIF-1α and participates in detoxification.,Reduced NQO1 expression/activity; may mitigate pro-tumorigenic HIF-1α stabilization and reflect compensation for constitutive NRF2 activity in Neoaves.,True,"As an NRF2 target, NQO1 influences redox balance and stress resistance linked to aging; its loss in Neoaves may represent adaptation minimizing trade-offs of chronic NRF2 activation.","""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:58.354495+00:00
2,TXNRD1,Q16881,,,,,True,"NRF2 target thioredoxin reductase upregulated in Neoaves, contributing to antioxidant defense with aging relevance.","""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:53.852767+00:00
3,GCLM,P48507,,,,,True,NRF2 target; upregulated in Neoaves to support glutathione synthesis and antioxidant capacity relevant to longevity.,"""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:50.647697+00:00
4,GCLC,P48506,,,,,True,"NRF2 target; upregulated in Neoaves with constitutive NRF2 activity, supporting glutathione synthesis and redox homeostasis in aging.","""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:45.387441+00:00
5,PRDX1,Q06830,,,,,True,NRF2 target peroxidase upregulated in Neoaves tissues; contributes to antioxidant defense relevant to aging.,"""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:39.948027+00:00
6,GSTA2,P09210,,,,,True,"NRF2 target enzyme linked to redox regulation; Neoaves show loss of upstream ARE and reduced expression, suggesting compensation for constitutive NRF2 activity with implications for oxidative stress and lifespan.","""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:35.226104+00:00
7,NFE2L2,Q16236,,,,,True,"NRF2 is constitutively active in Neoaves due to KEAP1 loss, driving antioxidant programs implicated in lifespan regulation and aging.","""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:30.352988+00:00
8,KEAP1,Q14145,deletion,AA 442–488,Kelch-repeat domain mediates binding to NRF2 ETGE/DLG motifs for ubiquitination and degradation.,"Loss of NRF2 binding causing constitutive NRF2 activation, increased ARE-driven transcription, and reduced oxidative stress.",True,Loss of KEAP1 repression enables high metabolism with limited lifespan trade-offs by enhancing antioxidant defense; KEAP1–NRF2 pathway is linked to aging and longevity.,"""[{\""title\"":\""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\"",\""authors\"":[\""Castiglione GM\"",\""Xu Z\"",\""Zhou L\"",\""Duh EJ\""],\""year\"":2020,\""doi\"":\""10.1038/s41467-020-16129-4\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T20:03:21.469221+00:00
9,DAF-16,O16850,,,,,True,Forkhead transcription factor that mediates lifespan extension in response to insulin/IGF-1 signaling; interacts with SKN-1 in oxidative stress response.,"[""28612944""]",https://pubmed.ncbi.nlm.nih.gov/28612944/,2025-10-22T08:21:01.759679+00:00
10,SKN-1,P34707,,,,,True,Regulates oxidative stress response and lifespan in C. elegans; activation extends lifespan via downstream targets.,"[""28612944""]",https://pubmed.ncbi.nlm.nih.gov/28612944/,2025-10-22T08:20:55.474366+00:00
11,PRDX1,P06830,,,,,True,NRF2-regulated peroxiredoxin; oxidative stress management relevant to aging,"""[{\""raw\"": \""Adaptation of the master antioxidant response connects metabolism, lifespan and feather development pathways in birds\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC7234996/,2025-10-22T05:05:14.541165+00:00
12,VTN49DRAFT_6059,,,,,,False,No reported association with aging or longevity; annotated for allantoin catabolism via electronic GO evidence (IEA).,"""[{\""title\"":\""VTN49DRAFT_6059 uncharacterized protein [Thermomyces lanuginosus] - NCBI Gene\"",\""authors\"":[],\""year\"":2024,\""doi\"":null,\""url\"":\""https://www.ncbi.nlm.nih.gov/gene/96047627\""}]""",https://www.ncbi.nlm.nih.gov/gene/96047627,2025-10-22T21:42:55.759010+00:00
13,LBD39,Q9SZE8,,,,,False,No direct evidence linking LBD39 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:34.404440+00:00
14,LBD38,Q9SN23,,,,,False,No direct evidence linking LBD38 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:29.661118+00:00
15,LBD37,Q9FN11,,,,,False,No direct evidence linking LBD37 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:20.429590+00:00
16,LBD29,Q9M2J7,,,,,False,No direct evidence linking LBD29 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:17.025927+00:00
17,LBD18,O22131,,,,,False,No direct evidence linking LBD18 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:12.867188+00:00
18,LBD16,Q9SLB7,,,,,False,No direct evidence linking LBD16 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:07.049058+00:00
